 "lexp" , "perf" , "perflabel" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1432545258735" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Sonata+in+B+Minor/1432545238572/1432545238583" , "performance of 'Sonata in B Minor'" , "12" ,
 "http://data.open.ac.uk/led/lexp/1406225674662" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Rachmaninoff's+Second+Piano+Concerto,+performed+by+the+composer+in+pre-revolutionary+St.+Petersburg/1406225644224/1406225644228" , "performance of 'Rachmaninoff's Second Piano Concerto, performed by the composer in pre-revolutionary St. Petersburg'" , "15" ,
 "http://data.open.ac.uk/led/lexp/1392145163569" , "http://data.open.ac.uk/led/performance/piano+arrangements+(,+performance+of)/1392144876294" , "performance of 'piano arrangements'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1432659496850" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Busoni's+violin+concerto/1432659470154/1432659470166" , "performance of 'Busoni's violin concerto'" , "12" ,
 "http://data.open.ac.uk/led/lexp/1435064554383" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/jazz+trumpet+performance/1430820397642/1435064526940" , "performance of 'jazz trumpet performance'" , "22" ,
 "http://data.open.ac.uk/led/lexp/1450108653062" , "http://data.open.ac.uk/led/performance/910407f8481fb2f38e086194ab287da3/1450108597562" , "performance of 'Dodoloai'" , "12" ,
 "http://data.open.ac.uk/led/lexp/1402054508168" , "http://data.open.ac.uk/led/performance/The+Old+Bull+and+Bush+(,+performance+of)/1402054480755" , "performance of 'The Old Bull and Bush'" , "15" ,
 "http://data.open.ac.uk/led/lexp/1450110653714" , "http://data.open.ac.uk/led/performance/5f48911855a8f49e316cc1877b425b47/1450110544670" , "performance of 'Hungarian songs'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1456497666814" , "http://data.open.ac.uk/led/performance/edadaf0c5e5556be7e42377213187085/1456497606377" , "performance of 'Rosa Mundi'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1436031656479" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Blues+trumpet+music/1433676449611/1436031615951" , "performance of 'Blues trumpet music'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1435251926787" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Concerto+for+two+violins/1435251853948/1435251853960" , "performance of 'Concerto for two violins'" , "15" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/907b1103537080da8b105f19f508b7b0/1450292916462" , "performance of 'Bach's Double Concerto'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1425428483059" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Dvo%25C5%2599%25C3%25A1k+Cello+Concerto/1406057330519/1425428469701" , "performance of 'Dvo����k Cello Concerto'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1432545479809" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Lieder/1432545460383/1432545460395" , "performance of 'Lieder'" , "12" ,
 "http://data.open.ac.uk/led/lexp/1402068716179" , "http://data.open.ac.uk/led/performance/Baby+Doll+(,+performance+of)/1402068670852" , "performance of 'Baby Doll'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1435249586116" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Blues/1427203759180/1435249541619" , "performance of 'Blues'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1445896540641" , "http://data.open.ac.uk/led/performance/bbd191099ba5873e2e35339982966350/1445896468984" , "performance of ''Auf dem Wasser''" , "12" ,
 "http://data.open.ac.uk/led/lexp/1460128193495" , "http://data.open.ac.uk/led/performance/41960f87997b9fc1f3febe046d6c9258/1460128162950" , "performance of 'Les Biches'" , "24" ,
