 "perf" , "place" , "placelabel" , "lat" , "long" , "yoc" ,
 "http://data.open.ac.uk/led/performance/48e8605a70449350417981b1d3bc10a1/1477169582833" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "32" ,
 "http://data.open.ac.uk/led/performance/5340cde3e9fbc2fc8be578bedcf0d2d2/1446403208468" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Die+Meistersinger+von+N%25C3%25BCrnberg'/1429015427310/1429015427316" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "36" ,
 "http://data.open.ac.uk/led/performance/e5fe1c5b62ee04fe7054c0f058eb531a/1446402583298" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Die+Meistersinger+von+N%25C3%25BCrnberg'/1429015427310/1429015427316" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "36" ,
 "http://data.open.ac.uk/led/performance/e5fe1c5b62ee04fe7054c0f058eb531a/1446402583298" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/Siegfried+Idyll+(,+performance+of)/1393949373063" , "http://dbpedia.org/resource/Chelsea,_London" , "Chelsea, London" , "51.4875" , "-0.1684" , "38" ,
 "http://data.open.ac.uk/led/performance/String+Quartets+op.18+(,+performance+of)/1393950736225" , "http://dbpedia.org/resource/Chelsea,_London" , "Chelsea, London" , "51.4875" , "-0.1684" , "38" ,
 "http://data.open.ac.uk/led/performance/Siegfried+Idyll+(,+performance+of)/1393949373063" , "http://dbpedia.org/resource/Chelsea,_London" , "Chelsea, London" , "51.4875" , "-0.1684" , "38" ,
 "http://data.open.ac.uk/led/performance/String+Quartets+op.18+(,+performance+of)/1393950736225" , "http://dbpedia.org/resource/Chelsea,_London" , "Chelsea, London" , "51.4875" , "-0.1684" , "38" ,
 "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Sonata+in+E+major+(op.+109)/1408110385159/1408110385163" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
