 "lexp" , "perf" , "genre" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1464386378281" , "http://data.open.ac.uk/led/performance/e29749e0443f4e64ab09297bacbe0783/1464386064973" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1463779291030" , "http://data.open.ac.uk/led/performance/13ddcd01115374969f89a8a2e8ead074/1463779249104" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464042972077" , "http://data.open.ac.uk/led/performance/58913bd08b1dd5defaf24fe165f4b32d/1464042938193" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464085368509" , "http://data.open.ac.uk/led/performance/58913bd08b1dd5defaf24fe165f4b32d/1464085329820" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464084977789" , "http://data.open.ac.uk/led/performance/c65df0435e55834ac4777daff0aca593/1464084954637" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1450295657640" , "http://data.open.ac.uk/led/performance/8b6b6b8883a4b9b42da0fc595da8a969/1450295622659" , "http://dbpedia.org/resource/Ballet_(music)" , "23" ,
 "http://data.open.ac.uk/led/lexp/1481801646443" , "http://data.open.ac.uk/led/performance/1c2d5b22f3b8d2943537f61fb2d0d10f/1481801575834" , "http://dbpedia.org/resource/Ballet_(music)" , "20" ,
 "http://data.open.ac.uk/led/lexp/1481801883076" , "http://data.open.ac.uk/led/performance/1c2d5b22f3b8d2943537f61fb2d0d10f/1481801815549" , "http://dbpedia.org/resource/Ballet_(music)" , "20" ,
 "http://data.open.ac.uk/led/lexp/1464386378281" , "http://data.open.ac.uk/led/performance/e29749e0443f4e64ab09297bacbe0783/1464386064973" , "http://dbpedia.org/resource/Ballet_(music)" , "25" ,
 "http://data.open.ac.uk/led/lexp/1434573059497" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/L'Oiseau+de+Feu/1434572960103/1434572960115" , "http://dbpedia.org/resource/Ballet_(music)" , "10" ,
 "http://data.open.ac.uk/led/lexp/1464042972077" , "http://data.open.ac.uk/led/performance/58913bd08b1dd5defaf24fe165f4b32d/1464042938193" , "http://dbpedia.org/resource/Ballet_(music)" , "25" ,
