" ""lexp"" ";" ""perf"" ";" ""label"" ";" ""genre"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434485556862"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Tannhauser/1434485553426/1434485553445"" ";" ""performance of 'Tannhauser'"" ";" ""http://data.open.ac.uk/led/music/Tannhauser/1434485553426"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434484428821"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Tristan+und+Isolde/1387051778281/1434484425375"" ";" ""performance of 'Tristan und Isolde'"" ";" ""http://data.open.ac.uk/led/music/Tristan+und+Isolde/1387051778281"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434290365244"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Turandot+-+Orchestral+Suite+from+the+Music+to+Gozzi's+Drama";"+Op.+41/1434290360460/1434290360466"" ";" ""performance of 'Turandot - Orchestral Suite from the Music to Gozzi's Drama";" Op. 41'"" ";" ""http://data.open.ac.uk/led/music/Turandot+-+Orchestral+Suite+from+the+Music+to+Gozzi's+Drama";"+Op.+41/1434290360460"" ";;;;;;
" ""http://data.open.ac.uk/led/lexp/1434482535190"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/unspecified+Beethoven+concerto/1434482532545/1434482532550"" ";" ""performance of 'unspecified Beethoven concerto'"" ";" ""http://data.open.ac.uk/led/music/unspecified+Beethoven+concerto/1434482532545"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1435272809050"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/unspecified+Liszt+Piano+Concerto/1435272736425/1435272736437"" ";" ""performance of 'unspecified Liszt Piano Concerto'"" ";" ""http://data.open.ac.uk/led/music/unspecified+Liszt+Piano+Concerto/1435272736425"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434400346541"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Variations+and+Fugue+on+a+Theme+of+Handel";"+Op.+24/1434400341914/1434400342251"" ";" ""performance of 'Variations and Fugue on a Theme of Handel";" Op. 24'"" ";" ""http://data.open.ac.uk/led/music/Variations+and+Fugue+on+a+Theme+of+Handel";"+Op.+24/1434400341914"" ";;;;;;
" ""http://data.open.ac.uk/led/lexp/1434290365244"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Violin+Concerto+in+D";"+Op.+35a/1434290324989/1434290325001"" ";" ""performance of 'Violin Concerto in D";" Op. 35a'"" ";" ""http://data.open.ac.uk/led/music/Violin+Concerto+in+D";"+Op.+35a/1434290324989"" ";;;;;;
" ""http://data.open.ac.uk/led/lexp/1435011945001"" ";" ""http://data.open.ac.uk/led/performance/http://dbpedia.org/resource/Enigma_Variations/1435011879382"" ";" ""performance of 'Enigma Variations'"" ";" ""http://dbpedia.org/resource/Enigma_Variations"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438170702712"" ";" ""http://data.open.ac.uk/led/performance/2468cbecac59623a9111851622518477/1438170556810"" ";" ""performance of 'Concerto Grosso'"" ";" ""http://data.open.ac.uk/led/music/Concerto+Grosso/1396369509803"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438163755120"" ";" ""http://data.open.ac.uk/led/performance/c1bf8d3f8f617eb9157785e8a34c0525/1438163712891"" ";" ""performance of 'String Quartet No. 3 in C";" Op. 16'"" ";" ""http://data.open.ac.uk/led/music/String+Quartet+No.+3+in+C";"+Op.+16/1438163712884"" ";;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438253509916"" ";" ""http://data.open.ac.uk/led/performance/e2dff396d27742db928cfebdb923ebf6/1438253479085"" ";" ""performance of 'Die Fledermaus'"" ";" ""http://data.open.ac.uk/led/music/Die+Fledermaus/1396616140352"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438252953974"" ";" ""http://data.open.ac.uk/led/performance/f988bb2592578a049d36d3f436d3407d/1438252908334"" ";" ""performance of 'A Christmas Dance: Sir Roger de Coverley'"" ";" ""http://data.open.ac.uk/led/music/A+Christmas+Dance:+Sir+Roger+de+Coverley/1438252908314"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1438108600689"" ";" ""http://data.open.ac.uk/led/performance/16f13df86c46785629ba86aa9bd08b41/1438108572885"" ";" ""performance of 'Hansel und Gretel'"" ";" ""http://data.open.ac.uk/led/music/Hansel+und+Gretel/1438108572879"" ";;;;;;;;;
